Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Finland,0.571761906,0.61002852,0.545411144,0.569856011,0.609436196,0.527670383,0.596213123,0.535413335,0.469395577,0.433189448,0.378593903,0.395985086,0.41518552,0.45751761,0.412385581,0.325580766,0.365818551,0.320887622,0.266132654,0.263155913,0.298814004,0.259182902,0.223421812,0.210245603,0.20884203
France,0.366042679,0.364384567,0.32840174,0.317556895,0.285358519,0.282669981,0.294445688,0.263598883,0.268472613,0.250875579,0.227891772,0.223735109,0.212757285,0.217330508,0.210790054,0.199996164,0.182096249,0.169159952,0.162144443,0.15679198,0.151224902,0.135625654,0.13469163,0.128078906,0.113926282
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0.373401734,0.343155531,0.376434624,0.357969194,0.297216766,0.292146617,0.285859,0.266987501,0.264895669,0.276814877,0.269432933,0.263986558,0.248185132,0.241935585,0.23619735,0.232692781,0.19838574,0.179844204,0.184885925,0.18662984,0.195007655,0.184349917,0.176419137,0.169781555,0.157074263
Gambia  The,0.196398085,0.188087472,0.177886409,0.1755735,0.171637809,0.176445771,0.169504087,0.15884721,0.163009423,0.164043157,0.161747767,0.154064989,0.17947966,0.164880063,0.151882193,0.148694286,0.149858441,0.160942575,0.155530626,0.150801808,0.15876948,0.168008877,0.158664913,0.141602346,0.166448376
Georgia,,,1.340840287,1.202302667,0.803093498,0.290214936,0.452591846,0.439236421,0.471053984,0.395348513,0.396386197,0.307563721,0.258020059,0.254011226,0.267886456,0.277877992,0.299113262,0.270158808,0.208208651,0.259059572,0.243845659,0.281242248,0.274748505,0.243126233,0.260845664
Germany,,0.554717418,0.510378998,0.495291895,0.466788042,0.448640337,0.450452856,0.426508928,0.410563733,0.38003425,0.36982928,0.364037496,0.342984371,0.332422787,0.315070436,0.302372087,0.289455734,0.260297016,0.249977074,0.2380673,0.236801456,0.213734379,0.211166755,0.207609267,0.188370957
Ghana,0.209489876,0.198387689,0.188985822,0.201040242,0.207606113,0.208032305,0.207653557,0.222290053,0.211156996,0.2039467,0.184722151,0.191236355,0.193231102,0.185409327,0.164647745,0.143479939,0.175158891,0.171670108,0.143455926,0.114540554,0.135532908,0.114949969,0.124675533,0.140543482,0.132637794
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0.548077131,0.512711287,0.50746467,0.505199287,0.499006549,0.484069611,0.468940134,0.457761887,0.45389746,0.435990773,0.434370306,0.411953605,0.379907792,0.367016605,0.348621049,0.351122314,0.309535026,0.303574922,0.280749966,0.272609363,0.267872343,0.275034429,0.286618982,0.242801965,0.230279173
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0.235032336,0.231969522,0.243997783,0.250709992,0.285267747,0.28761303,0.277034801,0.284030115,0.26225627,0.267032386,0.244322907,0.248710207,0.250099455,0.236327486,0.219853673,0.198312212,0.214084857,0.202691238,0.209078063,0.222190284,0.227158526,0.214600947,0.228459877,0.246040752,0.178877279
Guam,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,0.165869565,0.153777109,0.17078308,0.150939738,0.171698334,0.167889335,0.14866082,0.159945786,0.173545027,0.168050179,0.176176571,0.180552283,0.178682394,0.16696702,0.169150771,0.171845579,0.159252321,0.145635531,0.125221777,0.128185097,0.121230505,0.11568944,0.111502092,0.120333119,0.15239558
Guinea,0.181523161,0.174860388,0.170870466,0.16329922,0.176562057,0.170651401,0.169540486,0.164845298,0.166626477,0.166327602,0.164978223,0.163040019,0.160103607,0.161872495,0.159128565,0.140784321,0.139936714,0.132758054,0.139024381,0.14420645,0.156487405,0.154952294,0.133317115,0.112270193,0.113194104
Guinea-Bissau,0.166703181,0.156689771,0.154688579,0.151020805,0.143278452,0.134421308,0.118283396,0.120099656,0.141152036,0.155313235,0.108752481,0.106742245,0.108714083,0.133924206,0.131697755,0.129175142,0.124663669,0.125536922,0.117425229,0.116375404,0.111682722,0.104328834,0.107258301,0.10356418,0.106422796
